=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 701287887422 2062622293    0    0    0     0          0         0 701287887422 2062622293    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 1892652146130 2811163896    0 3953970    0     0          0    107947 1745268142826 2668441853    0  592    0     0       0          0
cilium_net: 1270818   19049    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0  1270818   19049    0    0    0     0       0          0
cilium_vxlan: 1273593292772 1022380779    0    0    0     0          0         0 808599416381 944940280    0    0    0     0       0          0
lxc36d01c26963f: 1352546507 2342764    0    0    0     0          0         0 260475124 2290703    0    0    0     0       0          0
lxca67a5b26b8a1: 102743985 1252725    0    0    0     0          0         0 5138448669 1554052    0    0    0     0       0          0
lxc20294cc43f8b: 19329152  232806    0    0    0     0          0         0 29209333  198334    0    0    0     0       0          0
lxcb6994d805be0: 36560963844 216680586    0    0    0     0          0         0 284501560007 218680137    0    0    0     0       0          0
lxcfd226955c115: 12158758569 5099901    0    0    0     0          0         0 9375109640 8289409    0    0    0     0       0          0
lxcc233b65e90da: 84224591  969932    0    0    0     0          0         0 5126575337 1151262    0    0    0     0       0          0
lxc5387bb22a0f3: 407426575359 69600577    0    0    0     0          0         0 28356786093 108171944    0    0    0     0       0          0
lxc51d593e7f24c: 2716023505 6291793    0    0    0     0          0         0 3041576485 6365647    0    0    0     0       0          0
lxc54d166118383: 390470473 4471040    0    0    0     0          0         0 2367270279 5279574    0    0    0     0       0          0
lxc5baaeb8e7656: 5079557346 12594811    0    0    0     0          0         0 3241290875 10863787    0    0    0     0       0          0
lxcfd2adb06c5bb: 3326122224 11468267    0    0    0     0          0         0 6861334533 13400265    0    0    0     0       0          0
lxcffe3abb97d88: 33395622901 223461239    0    0    0     0          0         0 28360081544 242011565    0    0    0     0       0          0
lxc5a3eede5f6fc: 1639018932 8556600    0    0    0     0          0         0 3307142289 7601191    0    0    0     0       0          0
lxcd93de176c43e: 1046359206 7256255    0    0    0     0          0         0 1781718761 7992534    0    0    0     0       0          0
lxc953ad757b7e4: 66500233  768245    0    0    0     0          0         0 6806212496 1142480    0    0    0     0       0          0
lxc6f374d20ad8f: 365482884 2151708    0    0    0     0          0         0 199316432 2330834    0    0    0     0       0          0
lxca25c9b057cf6: 798104190 6688647    0    0    0     0          0         0 11260328898 7610227    0    0    0     0       0          0
lxc7ce08db71fe4: 16900642257 8826568    0    0    0     0          0         0 3982662582 11808341    0    0    0     0       0          0
lxc4de57ceef501: 821313279 4293007    0    0    0     0          0         0 3804237713 4172503    0    0    0     0       0          0
lxc8c9603ec8728: 319649039 1762795    0    0    0     0          0         0 4606894101 1747578    0    0    0     0       0          0
cilium_wg0: 1116303285392 1244401233    0    0    0     0          0         0 675354018200 997600299  273    7    0     0       0          0
enp0s31f6.110: 175570901149 44971378    0    0    0     0          0         0 45678281470 35456084    0    7    0     0       0          0
lxc462842c356c0: 76939233  194143    0    0    0     0          0         0 54363016  192015    0    0    0     0       0          0
lxc_health:  153998    2060    0    0    0     0          0         0   184758    2424    0    0    0     0       0          0
lxc9fb768ac20c6:  352786    4811    0    0    0     0          0         0     5030     109    0    0    0     0       0          0
lxcf5f4185560cf: 1994750   22230    0    0    0     0          0         0 102292398   24469    0    0    0     0       0          0
=== node 192.168.2.62 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 686755732149 2071647416    0    0    0     0          0         0 686755732149 2071647416    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 770049991910 1878488432 364356 3952335    0 182179          0    107936 1454053828491 2136427291    0  572    0     0       0          0
