=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 825475190 1697980    0    0    0     0          0         0 825475190 1697980    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 2094392060 3530440    0 1568    0     0          0       598 8609898812 6949640    0    4    0     0       0          0
enp0s31f6.110: 588124240 1550145    0    0    0     0          0        10 7402296839  601783    0    0    0     0       0          0
cilium_wg0: 114504592  147758    0    0    0     0          0         0 98170448  137934    0   27    0     0       0          0
cilium_net:  287560    3884    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0   287560    3884    0    0    0     0       0          0
cilium_vxlan: 99079547  101813    0    0    0     0          0         0 83304420   87353    0    0    0     0       0          0
lxc_health:   19761     260    0    0    0     0          0         0    24523     313    0    0    0     0       0          0
lxcea99778c13cf:   82454    1121    0    0    0     0          0         0     1460      24    0    0    0     0       0          0
lxcceb47bf2c0e3:   73657     859    0    0    0     0          0         0  3244220    1033    0    0    0     0       0          0
lxc0b53f592482d:  101104    1166    0    0    0     0          0         0  8582977    1415    0    0    0     0       0          0
lxc164d2c7a8500: 5303068    6918    0    0    0     0          0         0 22991287   10808    0    0    0     0       0          0
lxc5f4afe555475:   80389     733    0    0    0     0          0         0    91469     930    0    0    0     0       0          0
lxc89d521c75381: 1123147    9913    0    0    0     0          0         0 21618072    9969    0    0    0     0       0          0
lxc6e7d9dd46770:  136458     796    0    0    0     0          0         0    76488     900    0    0    0     0       0          0
lxcd125ff31fb51:  124158    1196    0    0    0     0          0         0  3302838     776    0    0    0     0       0          0
lxcb7187346744c:    1006      13    0    0    0     0          0         0      746       7    0    0    0     0       0          0
lxccaf53f8bfc28: 1122780    4348    0    0    0     0          0         0  5624979    4354    0    0    0     0       0          0
lxc23826c8cbf19:  542019    5561    0    0    0     0          0         0 16520503    4977    0    0    0     0       0          0
lxc8ca21fc0caba:  380388    1365    0    0    0     0          0         0  4325213    2063    0    0    0     0       0          0
lxc2685546a22f1:  417582    3301    0    0    0     0          0         0  7187548    2877    0    0    0     0       0          0
lxcdcfd3a13011c: 1479334    1975    0    0    0     0          0         0  1315431    2268    0    0    0     0       0          0
lxcad82ebfa4bfd:  122003    1298    0    0    0     0          0         0   169727    1093    0    0    0     0       0          0
lxce1bd09d95ff9: 79511413   31177    0    0    0     0          0         0 47862045   37441    0    0    0     0       0          0
lxc0f7b1c24f9d1: 17631607   10703    0    0    0     0          0         0  9714864   12553    0    0    0     0       0          0
lxc36ce4d61f05d:  503148    4105    0    0    0     0          0         0  9424086    4417    0    0    0     0       0          0
lxc6d76163e80b3:  881187    8144    0    0    0     0          0         0 25968189    8961    0    0    0     0       0          0
lxcc441eaa3074a: 3960495    2015    0    0    0     0          0         0   430475    2815    0    0    0     0       0          0
lxcaeb2a7c40422:  800312    6644    0    0    0     0          0         0 16444754    7163    0    0    0     0       0          0
lxc739553b8e188: 1490245    2183    0    0    0     0          0         0   318317    1962    0    0    0     0       0          0
lxc5413d9b804c0:  782447    3397    0    0    0     0          0         0  2387277    3306    0    0    0     0       0          0
